"id","unidad_academica","codigo","nombre"
1,FCYT,"25324",Accidentología Vial
2,FCYT,"03320",Accidentología Vial
3,FCYT,"27324",Accidentología Vial
4,FCYT,"29321",Accidentología Vial
5,FCYT,"09317",Accidentología Vial I
6,FCYT,"09423",Accidentología Vial II
7,FCYT,"09317",Acuicultura Orientada I
8,FCYT,"09320",Acuicultura Orientada II
9,FCYT,"19451",Administracion de Recursos Humanos
10,FCYT,"15575",Administracion de Recursos Humanos
11,FCYT,"31104",Administración Agropecuaria I
12,FCYT,"31214",Administración Agropecuaria II
13,FCYT,"19101",Administración I
14,FCYT,"19211",Administración II
15,FCYT,"33333",Administración Policial
16,FCYT,"34531",Administración de Recursos
17,FCYT,"22443",Administración de Recursos Humanos
18,FCYT,"13568",Administración de Recursos Humanos
19,FCYT,OP069,Administración y Gestión Empresarial
20,FCYT,"37549",Administración y Gestión de Organizaciones
21,FCYT,OP043,Aerobiología
22,FCYT,OP089,Agricultura de Precisión
23,FCYT,OP040,Agrostología
25,FCYT,"37106",Algebra
24,FCYT,"19107",Algebra
26,FCYT,"02105",Algebra I
27,FCYT,"01105",Algebra I
28,FCYT,"02211",Algebra II (Lineal)
29,FCYT,"01209",Algebra II (Lineal)
30,FCYT,"02215",Algebra III
31,FCYT,"01213",Algebra III
32,FCYT,"13213",Algebra Lineal
33,FCYT,"15213",Algebra Lineal
34,FCYT,"12214",Algoritmos y Estructura de Datos
35,FCYT,"34209",Algoritmos y Estructura de Datos
36,FCYT,"34209",Algoritmos y Estructuras de Datos
37,FCYT,"22454",Ambiente Industrial y Medio Ambiente
38,FCYT,"15574",Ambiente Industrial y Medio Ambiente
39,FCYT,"13567",Ambito Industrial Y Medio Ambiente
40,FCYT,"31109",Anatomía Animal
41,FCYT,"35215",Anatomía Vegetal
42,FCYT,"08210",Anatomía Vegetal
43,FCYT,"19102",Anatomía e Histología Aviar
44,FCYT,"07215",Anatomía y Fisiología Animal
45,FCYT,"06215",Anatomía y Fisiología Animal
46,FCYT,"07220",Anatomía y Fisiología Humana
47,FCYT,"06211",Anatomía y Fisiología Humana
48,FCYT,"09213",Anatomía y Fisiología I (Vegetal)
49,FCYT,"09214",Anatomía y Fisiología II (Animal)
50,FCYT,"07213",Anatomía y Fisiología Vegetal
51,FCYT,"06213",Anatomía y Fisiología Vegetal
52,FCYT,OP036,"Anatomía, Histología y Fisiología Humanas"
53,FCYT,"15458",Antenas
54,FCYT,OP010,Antropología Biológica
55,FCYT,"33109",Antropología Cultural
59,FCYT,"05436",Análisis Institucional
58,FCYT,"03439",Análisis Institucional
60,FCYT,"07435",Análisis Institucional
56,FCYT,"02437",Análisis Institucional
57,FCYT,"04436",Análisis Institucional
61,FCYT,"04212",Análisis Matemático I
62,FCYT,"03213",Análisis Matemático I
63,FCYT,"37101",Análisis Matemático I
64,FCYT,"02104",Análisis Matemático I
65,FCYT,"01104",Análisis Matemático I
66,FCYT,"02212",Análisis Matemático II
67,FCYT,"03325",Análisis Matemático II
68,FCYT,"01210",Análisis Matemático II
69,FCYT,"37211",Análisis Matemático II
71,FCYT,"02327",Análisis Matemático III
70,FCYT,"01321",Análisis Matemático III
73,FCYT,"01428",Análisis Numérico
72,FCYT,"02O04",Análisis Numérico
74,FCYT,"33444",Análisis Prevencional
75,FCYT,"37323",Análisis de Circuitos
76,FCYT,OP016,Análisis de Impacto Ambiental
77,FCYT,"33445",Análisis de Riesgo
78,FCYT,MG-5,Aplicaciones Teóricas y Prácticas de la Teledetección Ambiental
79,FCYT,OP065,Aplicaciones WEB
80,FCYT,"22450",Aplicaciones en Control Automático Industrial
81,FCYT,OP116,Arquitectura de Aplicaciones Web
85,FCYT,"37215",Arquitectura de Computadoras
83,FCYT,"34213",Arquitectura de Computadoras
84,FCYT,"19233",Arquitectura de Computadoras
82,FCYT,"34213",Arquitectura de Computadoras
86,FCYT,OP119,Arquitectura de Dispositivos Móviles
87,FCYT,OP128,Arquitectura de Móviles
88,FCYT,"15449",Arquitectura de Ordenadores
89,FCYT,"25322",Artes Gráficas
90,FCYT,"27322",Artes Gráficas
91,FCYT,"03427",Artes Gráficas
92,FCYT,"24322",Artes Gráficas
93,FCYT,"03442",Astrofísica
94,FCYT,"11433",Auditoría
97,FCYT,"27219",Balística I
96,FCYT,"25219",Balística I
95,FCYT,"03110",Balística I
98,FCYT,"25325",Balística II
99,FCYT,"03214",Balística II
100,FCYT,"27325",Balística II
101,FCYT,"37329",Base de Datos
102,FCYT,MG-7,Base de Datos Geográficas y Técnicas de Minería de Datos
103,FCYT,"34315",Bases de Datos
104,FCYT,"34423",Bases de Datos Avanzadas
105,FCYT,OP086,Bases de Datos NSQL
106,FCYT,OP019,Bioclimatología
107,FCYT,"06321",Biodiversidad Animal I
108,FCYT,"06321",Biodiversidad Animal I (Invertebrados)
109,FCYT,"06324",Biodiversidad Animal II
110,FCYT,"06324",Biodiversidad Animal II (Vertebrados)
111,FCYT,"06320",Biodiversidad Vegetal I
112,FCYT,"06320",Biodiversidad Vegetal I (No Vascular)
113,FCYT,"06323",Biodiversidad Vegetal II
114,FCYT,"06323",Biodiversidad Vegetal II (Vascular)
115,FCYT,"08213",Bioestadística
116,FCYT,"09211",Bioestadística
117,FCYT,"01S02",Bioestadística
118,FCYT,"32214",Bioestadística
119,FCYT,"35208",Bioestadística I
120,FCYT,"35318",Bioestadística II
121,FCYT,"21103",Bioestadística Paramétrica y No Paramétrica
122,FCYT,"06317",Bioestadística Paramétrica y No Paramétrica
123,FCYT,"08105",Biofísica
124,FCYT,"03O05",Biofísica
125,FCYT,"35210",Biofísica
126,FCYT,"08322",Biogeografía
127,FCYT,"35539",Biogeografía
128,FCYT,OP013,Biogeografía
129,FCYT,"04O05",Bioinorgánica
130,FCYT,"32106",Biología
131,FCYT,"32213",Biología Ambiental
132,FCYT,"07323",Biología Animal I (Invertebrados)
133,FCYT,"07327",Biología Animal II (Vertebrados)
134,FCYT,"07219",Biología Celular y Molecular
135,FCYT,"35216",Biología Celular y Molecular
136,FCYT,"06210",Biología Celular y Molecular
137,FCYT,"08214","Biología Celular, Molecular y de los Microorganismos"
138,FCYT,"04107",Biología I
139,FCYT,"03107",Biología I
140,FCYT,"04215",Biología II
141,FCYT,"03216",Biología II
142,FCYT,OP011,Biología Molecular
143,FCYT,"07322",Biología Vegetal I (No Vascular)
144,FCYT,"07326",Biología Vegetal II (Vascular)
145,FCYT,"35217",Biología de los Microorganismos y Protistas
146,FCYT,"35431",Biología del Comportamiento
147,FCYT,"05438",Biotecnología
148,FCYT,"31105",Botánica
149,FCYT,"09107",Botánica General
150,FCYT,"35105",Botánica General
151,FCYT,"08106",Botánica General
152,FCYT,OP038,Briología
153,FCYT,OP077,Calidad de Sistemas CMMI
154,FCYT,OP080,Calidad de Sistemas CMMI
155,FCYT,OP078,Calidad de Software
156,FCYT,OP076,Calidad del Software (Area Sistemas)
157,FCYT,OP104,Calidad en el desarrollo de Sistemas
158,FCYT,"03334",Calor y Termodinámica
159,FCYT,"15220",Campos Electromagneticos
160,FCYT,"16335",Campos Electromagnéticos
161,FCYT,"37322",Campos y Ondas
162,FCYT,"17215",Ciencia y Tecnología de los Materiales
163,FCYT,"39329","Ciencia, Tecnología Sociedad y Ambiente"
164,FCYT,"08209",Ciencias de la Tierra
165,FCYT,"35211",Ciencias de la Tierra
166,FCYT,"03214",Ciencias de la Tierra I
167,FCYT,"04213",Ciencias de la Tierra I
168,FCYT,"04217",Ciencias de la Tierra II
169,FCYT,"03218",Ciencias de la Tierra II
170,FCYT,"15447",Circuitos Integrados
171,FCYT,"15453",Circuitos de Alta Freccuencia
172,FCYT,OP082,Citricultura
173,FCYT,"39002",Cognición y aprendizaje en ciencias
174,FCYT,"38103",Comercialización de Productos Agrícolas y Agroindustriales
175,FCYT,"31339",Comercialización de Productos Agrícolas y Agroindustriales
176,FCYT,"19322","Comercialización, Marketing y Ventas"
177,FCYT,OP052,Comercio Electrónico
178,FCYT,"04O07",Complemento de Físico-Química
179,FCYT,"01S03",Complementos de Investigación Operativa
180,FCYT,"34428",Computación Avanzada
181,FCYT,"19103",Computación I
182,FCYT,"19212",Computación II
183,FCYT,"15566",Comunicaciones Espaciales
184,FCYT,"15567",Comunicaciones Moviles
185,FCYT,"37436",Comunicaciones Móviles
186,FCYT,"15560",Comunicaciones Opticas I
187,FCYT,"15565",Comunicaciones Opticas II
188,FCYT,"34424",Comunicaciones y Redes
189,FCYT,"11434",Comunicaciones y Redes
190,FCYT,"37434",Comunicaciones Öpticas y Satelitales
191,FCYT,"13449",Comunicación de Datos
192,FCYT,"39109",Comunicacíon Visual
193,FCYT,"21206",Conservación y Manejo de la Biodiversidad
194,FCYT,"09318","Construcción, Tecnología y Administración Acuicola"
195,FCYT,"13340",Control Numérico y Robótica
196,FCYT,"22341",Control Numérico y Robótica
197,FCYT,"13560",Control Robusto
198,FCYT,"15563",Control Robusto
199,FCYT,OP031,Control de Plagas
200,FCYT,"22228",Conversión Analógica Digital
201,FCYT,"13224",Conversión Analógica Digital
202,FCYT,"09430",Coordinación Operativa
203,FCYT,"29437",Coordinación Siniestral
204,FCYT,"17328",Costos Industriales
205,FCYT,"19104",Crianza e Instalaciones Avícolas
206,FCYT,CC101,Criminalistica
207,FCYT,"33216",Criminalística I
208,FCYT,"33326",Criminalística II
209,FCYT,"03321",Criminología
210,FCYT,"27437",Criminología
211,FCYT,OP077,Criptografía (Area Computación)
