"plan_id","catedra_id"
1,26
1,28
1,31
1,56
1,64
1,69
1,70
1,72
1,219
1,275
1,276
1,281
1,291
1,297
1,298
1,299
1,300
1,357
1,363
1,405
1,417
1,500
1,556
1,558
1,560
1,604
1,611
1,624
1,647
1,661
1,784
1,798
1,833
1,841
1,861
1,888
1,959
1,971
1,1004
1,1014
1,1053
1,1080
1,1110
1,1111
1,1172
1,1181
1,1201
1,1297
1,1401
1,1424
1,1477
1,1505
2,96
2,98
2,227
2,238
2,243
2,252
2,267
2,480
2,517
2,532
2,652
2,726
2,737
2,779
2,793
2,902
2,911
2,931
2,1075
2,1085
2,1098
2,1225
2,1264
2,1509
3,230
3,239
3,245
3,255
3,268
3,479
3,511
3,654
3,732
3,735
3,778
3,789
3,901
3,932
3,1045
3,1047
3,1086
3,1193
3,1215
3,1510
4,227
4,238
4,243
4,252
4,267
4,480
4,517
4,652
4,726
4,737
4,779
4,793
4,902
4,931
4,1044
4,1048
4,1085
4,1193
4,1215
4,1509
5,2
5,62
5,67
5,91
5,95
5,97
5,137
5,140
5,166
5,209
5,231
5,244
5,251
5,259
5,320
5,323
5,369
5,409
5,429
5,475
5,499
5,507
5,508
5,520
5,522
5,614
5,625
5,636
5,655
5,662
5,678
5,731
5,734
5,743
5,781
5,806
5,843
5,877
5,891
5,923
5,943
5,1031
5,1046
5,1049
5,1056
5,1076
5,1106
5,1184
5,1200
5,1210
5,1211
5,1239
5,1242
5,1246
5,1247
5,1253
5,1255
5,1400
5,1423
5,1474
5,1511
5,1512
6,4
6,88
6,96
6,98
6,208
6,227
6,238
6,243
6,252
6,267
6,322
6,324
6,407
6,432
6,480
6,517
6,532
6,652
6,664
6,675
6,726
6,737
6,779
6,793
6,902
6,911
6,922
6,931
6,937
6,1044
6,1048
6,1075
6,1085
6,1149
6,1204
6,1206
6,1213
6,1241
6,1250
6,1254
6,1256
6,1395
6,1509
7,1
7,5
7,6
7,7
7,8
7,48
7,49
7,114
7,193
7,201
7,202
7,222
7,223
7,235
7,242
7,246
7,247
7,248
7,254
7,262
7,328
7,414
7,434
7,438
7,474
7,476
7,489
7,490
7,514
7,521
7,523
7,529
7,552
7,651
7,657
7,663
7,671
7,680
7,710
7,718
7,725
7,741
7,770
7,771
7,772
7,792
7,874
7,894
7,896
7,903
7,904
7,917
7,919
7,920
7,924
7,925
7,930
7,940
7,950
7,967
7,985
7,1061
7,1074
7,1077
7,1078
7,1091
7,1092
7,1093
7,1094
7,1099
7,1100
7,1150
7,1187
7,1188
7,1189
7,1190
7,1191
7,1192
7,1203
7,1209
7,1245
7,1252
7,1261
7,1262
7,1394
7,1473
7,1491
7,1508
8,94
8,99
8,226
8,237
8,240
8,256
8,260
8,477
8,515
8,524
8,656
8,727
8,742
8,780
8,791
8,899
8,907
8,929
8,1073
8,1087
8,1098
8,1225
8,1265
8,1507
9,1
9,202
9,223
9,235
9,242
9,254
9,262
9,414
9,434
9,474
9,489
9,521
9,523
9,657
9,663
9,710
9,718
9,771
9,792
9,894
9,904
9,917
9,924
9,930
9,940
9,1074
9,1092
9,1093
9,1099
9,1150
9,1188
9,1189
9,1191
9,1203
9,1209
9,1262
9,1394
9,1508
10,88
10,227
10,238
10,243
10,252
