id,unidad_academica,carrera_id,nombre,nro_resolucion,cant_materias,estado
1,FCYT,19,2001,649/03|1182-09,39,V
2,FCYT,3,2006,907/03 | 860/06,24,V
3,FCYT,4,2005,907/03|859/06,19,A
4,FCYT,4,2006,907/03|859/06,20,V
5,FCYT,5,2001,229/02 UADER,38,A
6,FCYT,5,2005,200/07 MECYT,43,V
7,FCYT,7,2001,142/02 UADER,35,A
8,FCYT,3,2005,907/03 | 860/06,24,A
9,FCYT,7,2005,83/07 MECYT,38,V
10,FCYT,15,2006,200/07 MECYT,24,V
11,FCYT,8,2006,1318/07 ME,37,V
12,FCYT,9,2008,678/09|981/08,30,V
13,FCYT,10,2008,ME 632-09,61,V
14,FCYT,11,2010,1871-14 ME,40,V
16,FCYT,12,2012,1869-14 ME,6,V
17,FCYT,13,2015,300/14 CS,50,V
18,FCYT,14,2014,1809/2016,10,V
19,FCYT,15,2005,200/07 MECYT,24,A
20,FCYT,3,2001,907/03 MECYT,20,A
21,FCYT,2,2001,MINIS. 257/03,30,V
22,FCYT,20,2001,614/03|1186-09,43,V
23,FCYT,21,2001,698/03|1187-09,40,V
24,FCYT,23,2001,443/04|1183-09,42,V
25,FCYT,24,2001,XXXX,32,V
26,FCYT,24,2005,1191/07 MECYT,32,A
27,FCYT,24,2013,096-13,41,V
28,FCYT,25,2001,695/03|1184-09,37,V
29,FCYT,26,2001,58/04 MECYT,32,V
30,FCYT,27,2001,043/02 UADER,46,V
31,FCYT,29,2001,681/03|1185-09,27,A
32,FCYT,29,2010,1610-15 ME,23,V
33,FCYT,22,2001,289/09 UADER,66,A
34,FCYT,17,2003,691/03|036/00,39,V
35,FCYT,16,2000,0000,82,A
36,FCYT,6,2001,538/03|1668/03,43,V
37,FCYT,1,2003,1069-2003,29,V
38,FCYT,28,2001,148/05 MECYT,37,A
39,FCYT,30,2016,2016-1989-E-APN,39,V
40,FCYT,31,2005,1668/06|538/03,62,V
41,FCYT,32,2001,097/06 UADER,99,V
42,FCYT,33,2008,56/09 ME,55,V
43,FCYT,34,2015,CS 064/15,9,V
44,FCYT,4,2001,907/03 MECYT,20,V
