id,unidad_academica,codigo,nombre,direccion,localidad,codigo_postal,telefono,email
1,FCYT,4-01,ORO VERDE,Ruta 11 - KM 10,ORO VERDE,,,
2,FCYT,4-02,PARANA PROFESORADO,Escuela Normal,PARANÁ,,,
3,FCYT,4-03,PARANA CRIMINALISTICA,Escuela Santa Fe,PARANÁ,,,
4,FCYT,4-04,BASAVILBASO,Barón Hirsch,BASAVILBASO,,,
5,FCYT,4-05,CONCEPCION DEL URUGUAY,25 de Mayo 353,CONCEPCION DEL URUGUAY,,,
6,FCYT,4-06,CRESPO,Avda. 3 de Febrero esquina Hipólito Irigoyen,CRESPO,,,
7,FCYT,4-07,CHAJARI,Av. Belgrano y 1º de Mayo,CHAJARÍ,,,
8,FCYT,4-08,DIAMANTE,Urquiza y Tratado del Pilar,DIAMANTE,,,
9,FCYT,4-09,FEDERACION,Las Violetas 853,FEDERACIÓN,,,
10,FCYT,4-10,SANTA ELENA,Héctor Maya y Cuesta de los Troperos,SANTA ELENA,,,
11,FCYT,4-12,GUALEGUAYCHU,9 de Julio 94,GUALEGUAYCHÚ,,,
12,FCYT,4-13,VILLAGUAY,Ruta 130 Empalme Neid,VILLAGUAY,,,
13,FCYT,4-14,GUALEGUAY,Corrientes 198,GUALEGUAY,,,
14,FCYT,4-15,NOGOYA,Ruta Nº 12 y San Martín,NOGOYA,,,
