codigo,nombre,periodo_lectivo,carga_horaria
3101,Introducción a la Criminalística,Cuatrimestral,3
3102,Planimetría,Cuatrimestral,6
3103,Derecho Penal y Civil en Peritaje,Cuatrimestral,4
3104,Derecho Constitucional,Cuatrimestral,4
3105,Matemática,Anual,3
3106,Física I,Anual,3
3107,Química I,Anual,3
3108,Papiloscopía I,Anual,6
3109,Inglés Técnico I,Anual,3
3110,Balística I,Anual,6
3209,Derecho Procesal Penal y Civil,Cuatrimestral,4
3210,Fotografía,Cuatrimestral,3
3211,Estadística,Cuatrimestral,3
3212,Video Filmación I,Cuatrimestral,4
3213,Deontología Profesional,Cuatrimestral,3
3214,Balística II,Anual,6
3215,Física II,Anual,3
3216,Química II,Anual,3
3217,Informática I,Anual,2
3218,Práctica Pericial Papiloscópica,Anual,6
3219,Inglés Técnico II,Anual,3
3220,Práctica Pericial Balística,Anual,3
3221,Papiloscopía II,Anual,6
3320,Accidentología Vial,Cuatrimestral,0
3321,Criminología,Cuatrimestral,
3322,Video Filmación II,Anual,
3323,Documentología I,Anual,
3324,Química III,Anual,
3325,Psicología Social I,Anual,
3326,Informática II,Anual,
3327,Inglés Técnico III,Anual,
3427,Artes Gráficas,Cuatrimestral,
3428,Psicología Social II,Cuatrimestral,
3429,Metodología de la Investigación,Anual,
3430,Documentología II,Anual,
3431,Medicina Legal,Anual,
3432,Química IV,Anual,
3433,Informática III,Anual,
3434,Práctica Pericial,Anual,
9101,Introducción a la Accidentología Vial,Anual,0
9102,Matemática I,Anual,
9103,Derecho I (Constitucional),Anual,
9104,Física I,Anual,
9105,Mecánica I,Cuatrimestral,
9106,Mecánica II,Cuatrimestral,
9207,Matemática II,Anual,
9208,Derecho II (Penal y Civil),Anual,
9209,Práctica Pericial I,Anual,
9210,Planimetría I,Cuatrimestral,
9211,Informática I,Cuatrimestral,
9212,Física II,Cuatrimestral,
9213,Informática II,Cuatrimestral,
9214,Planimetría II,Cuatrimestral,
9315,Fotografía Judicial Aplicada,Anual,
9316,Derecho III (Procesal y Civil),Anual,
9317,Accidentología Vial I,Anual,
9318,Práctica Pericial II,Anual,
9319,Fundamentos de Tránsito y Régimen Vigente,Cuatrimestral,
9320,Deontología Pericial,Cuatrimestral,
9321,Medicina Legal aplicada a la Accidentología Vial,Cuatrimestral,
